turbine,variable,count,mean,std,min,25%,50%,75%,max,range
No.3,12,698.0,-0.009873084428366761,0.01842539255207134,-0.077806279,-0.022230364,-0.011115182,0.0,0.088921458,0.166727737
No.3,13,698.0,0.018486003641833816,0.022419084416755258,0.0,0.011181309,0.011181309,0.022362618,0.234807491,0.234807491
No.3,14,698.0,0.015096264406876789,0.00697490827571328,0.0,0.011115182,0.011115182,0.022230364,0.066691093,0.066691093
No.3,15,698.0,0.4200638166432665,2.003641600622435,-4.436512947,-1.298511267,0.201489612,2.001490593,6.101483345,10.537996291999999
No.3,16,698.0,4.061436929381088,1.5154340145128546,0.469661295,2.694674969,4.194668293,5.594663143,7.394650936,6.924989641
No.3,17,698.0,2.813633400431232,1.72498771872728,-0.924900711,1.396102071,2.496105671,4.296095848,7.196089268,8.120989978999999
No.3,18,698.0,42.451864438796555,1.340324088816609,40.0995636,41.3950939175,42.4996109,43.19962692,46.72668076,6.627117159999997
No.3,19,698.0,849.0,0.0,849.0,849.0,849.0,849.0,849.0,0.0
No.3,20,698.0,41.72202348581663,6.08908592113336,33.490448,36.62475967,40.577053070000005,45.8790140125,59.18908691,25.69863891
No.3,21,698.0,24.337734927191978,2.9124257208930096,19.59962082,21.69961929,24.207103725,27.09967422,28.6997261,9.100105280000001
No.3,22,698.0,27.726503678524356,4.66676461619331,20.30077553,23.6007843,27.383336065,32.00100708,35.20099258,14.900217049999998
No.3,23,698.0,38.239642560916906,2.836958359560834,33.29657364,35.7770738625,38.28560066,40.89662552,42.89670944,9.600135800000004
No.3,24,698.0,38.849477363424064,2.6131389471668482,34.29369354,36.59378052,38.887779234999996,41.290036205,43.26681519,8.973121650000003
No.3,25,698.0,38.91277607805157,2.4020550368671563,34.69684601,36.79681778,38.89687347,41.09687805,42.94187164,8.24502563
No.3,26,698.0,-0.15316603650286525,0.6433775032694071,-1.000620365,-0.700619936,-0.400620162,-0.00061999,1.999379754,3.000000119
No.3,27,698.0,-0.32616604593982806,0.8247724741125528,-4.399920464,-0.699925423,-0.199925393,0.36882469075,0.542075157,4.941995621
No.3,28,698.0,849.0,0.0,849.0,849.0,849.0,849.0,849.0,0.0
No.3,29,698.0,7.742139309399714,0.4489561814395066,6.99717617,7.397185326,7.697176933,8.097168922,8.597167015,1.5999908449999998
No.3,30,698.0,13.719401150501431,1.1183522652102582,11.5997448,12.99976158,13.79980469,14.49984264,15.5998745,4.0001297000000005
No.3,31,698.0,-5.7744622018309455,0.7967045147741276,-6.500510216,-6.2730071545,-6.10050869,-5.500508785,-0.82750845,5.6730017660000005
No.14WT,1,686.0,-0.009351583231778425,0.04067956230719432,-0.255578637,-0.03194733,-0.01064911,0.010701193,0.170385763,0.4259644
No.14WT,2,686.0,-0.008210918174927114,0.06398141360023371,-0.238556251,-0.043730792,-0.010843466,0.032530397,0.249399722,0.487955973
No.14WT,3,686.0,50.84781429219388,22.98050426369417,8.225802205,27.10021973,67.49754333,73.86800957,76.79769135,68.571889145
No.14WT,4,686.0,51.69132967264286,21.275022815488068,6.741785033,29.7003479,67.34849548,72.05983543,76.29862213,69.556837097
